npa_plz,town,state,latitude,longitude
1462,Yvonand,VD,46.7904,6.73605
1463,Arrissoules,VD,46.7858,6.76651
1464,Ch�ne-P�quier,VD,46.7669,6.76811
1468,Cheyres,FR,46.8115,6.78565
1470,Estavayer-le-Lac D,FR,46.8496,6.85668
1473,Font,FR,46.833,6.82263
1474,Ch�bles,FR,46.8212,6.81007
1475,Autavaux,FR,46.7811,6.72042
1482,Cugy FR,FR,46.809,6.86159
1483,Les Montet,FR,46.8268,6.86344
1484,Aumont,FR,46.7994,6.85032
1485,Nuvilly,FR,46.7802,6.83071
1486,Vuissens,FR,46.7313,6.76834
1489,Murist,FR,46.794,6.80255
1509,Vucherens,VD,46.6237,6.77556
1510,Moudon Dist,VD,46.6429,6.7782
1512,Chavannes-sur-Moudon,VD,46.6592,6.81311
1513,Hermenches,VD,46.6373,6.75396
1514,Bussy-sur-Moudon,VD,46.6897,6.80936
1515,Neyruz-sur-Moudon,VD,46.6962,6.78591
1521,Curtilles,VD,46.6978,6.84398
1522,Lucens,VD,46.7076,6.81424
1523,Granges-pr�s-Marnand,VD,46.7643,6.88644
1524,Marnand,VD,46.7607,6.90166
1525,Henniez,VD,46.6497,8.73361
1526,Cremin,VD,46.7222,6.82391
1527,Villeneuve FR,FR,47.6585,8.75283
1528,Surpierre,FR,46.7397,6.8499
1529,Cheiry,FR,46.7531,6.83981
1530,Payerne Dist Fil,VD,46.8191,6.93474
1532,F�tigny,FR,46.7924,6.91204
1533,M�ni�res,FR,46.7849,6.88499
1534,Sassel,FR,46.7736,6.85682
1535,Combremont-le-Grand,VD,46.7649,6.82115
1536,Combremont-le-Petit,VD,46.7462,6.81959
1537,Champtauroz,VD,46.7571,6.78374
1538,Treytorrens (Payerne),VD,46.773,6.80112
1541,Bussy FR,FR,46.8336,6.86092
1542,Rueyres-les-Pr�s,FR,46.8567,6.91091
1543,Grandcour,VD,46.8738,6.93212
1544,Gletterens,FR,46.9003,6.93102
1545,Chevroux,VD,46.8887,6.90678
1551,Vers-chez-Perrin,VD,46.7974,6.94199
1552,Trey,VD,46.7748,6.92181
1553,Ch�tonnaye,FR,46.7528,6.93832
1554,S�deilles,VD,46.7426,6.92919
1555,Villarzel,VD,46.744,6.90683
1562,Corcelles-pr�s-Payerne,VD,46.8368,6.96621
1563,Dompierre FR,FR,46.8549,6.98964
1564,Domdidier,FR,46.8626,7.01607
1565,Missy,FR,46.874,6.96896
1566,Saint-Aubin FR,FR,46.8916,6.90385
1567,Delley,FR,46.9145,6.96842
1568,Portalban,FR,46.8994,6.95693
1580,Avenches Dist,VD,46.8847,7.03835
1582,Donatyre,VD,46.8723,7.06073
1583,Villarepos,FR,46.882,7.07823
1584,Villars-le-Grand,VD,46.9041,6.99865
1585,Salavaux,VD,46.9081,6.83301
1586,Vallamand,VD,46.9324,7.03689
1587,Constantine,VD,46.9091,7.01848
1588,Cudrefin,VD,46.9521,7.02706
1589,Chabrey,VD,46.9297,6.98217
1595,Faoug,BE,46.8947,7.08836
1607,Pal�zieux Dist,VD,46.5491,6.83525
1608,Oron-le-Ch�tel,VD,46.5621,6.86249
1609,Saint-Martin FR,FR,46.583,6.8814
1610,Oron-la-Ville,VD,46.5619,6.80532
1611,Le Cr�t-p-Semsales,FR,46.6,6.93333
1612,Ecoteaux,VD,46.5444,6.85408
1613,Maracon,VD,46.5531,6.87864
1614,Granges (Veveyse),FR,46.5243,6.80516
1615,Bossonnens,FR,46.5289,6.84814
1616,Attalens,FR,46.512,6.85741
1617,Remaufens,FR,46.5351,6.88047
1618,Ch�tel-Denis Dist,FR,46.5215,6.94591
1619,Les Paccots,FR,46.5225,6.94392
1623,Semsales,FR,46.5699,6.95571
1624,La Verrerie,FR,46.5976,6.92027
1625,S�les,FR,46.6387,6.99049
1626,Romanens,FR,46.6507,6.94199
1627,Vaulruz,FR,46.6147,6.98626
1628,Vuadens,FR,46.6084,7.00471
1630,Bulle,FR,46.6075,7.04615
1631,Bulle,FR,46.6186,7.05738
1632,Riaz,FR,46.6423,7.04243
1633,Marsens,FR,46.6562,7.04973
1634,La Roche,FR,46.6913,7.1586
1635,La Tour-de-Tr�me,FR,46.625,7.05863
1636,Broc,FR,46.6003,7.1193
1637,Charmey,FR,46.5989,7.19983
1638,Morlon,FR,46.6236,7.08631
1642,Sorens,FR,46.6725,7.04456
1643,Gumefens,FR,46.6773,7.07685
1644,Avry-devant-Pont,FR,46.6853,7.08625
1645,Le Bry,FR,46.6995,7.08302
1646,Echarlens,FR,46.6489,7.07688
1647,Corbi�res,FR,46.6538,7.11622
1648,Hauteville,FR,46.6682,7.13008
1649,Pont-la-Ville,FR,46.701,7.11002
1651,Villarvolard,FR,46.6449,7.11673
1652,Botterens,FR,46.6248,7.11427
1653,Cr�suz,FR,46.6172,7.12698
1654,Cerniat FR,FR,46.6649,7.20093
1656,Jaun,FR,46.6059,7.26748
1657,Abl�ndschen,BE,46.5652,7.3074
1658,Rossini�re,VD,46.4661,7.06394
1659,Rougemont,VD,46.4992,7.21428
1660,La L�cherette,VD,46.4473,7.13747
1661,Le P�quier FR,FR,46.5913,7.03636
1663,Epagny,FR,46.5777,7.08049
1665,Estavannens,FR,46.5732,7.09988
1666,Grandvillard,FR,46.5316,7.10608
1667,Enney,FR,46.5724,7.08357
1669,Haut-Intyamon,FR,46.483,7.0536
1670,Ursy,FR,46.624,6.85155
1673,Promasens,FR,46.5825,6.80505
1674,Vuarmarens,FR,46.6393,6.83644
1675,Vauderens,FR,46.6164,6.84941
1676,Chavannes-Forts,FR,46.6599,6.89536
1677,Prez-vers-Siviriez,FR,46.6384,6.87385
1678,Siviriez,FR,46.6522,6.88629
1679,Villaraboud,FR,46.6596,6.91199
1680,Romont FR,FR,46.6997,6.91569
1681,Billens-Hennens,FR,46.6851,6.8875
1682,Pr�vonloup,VD,46.6921,6.86483
1683,Chesalles-sur-Moudon,VD,46.6686,6.85802
1684,M�zi�res FR,FR,46.6831,6.89476
1685,Villariaz,FR,46.6645,6.94085
1686,Grangettes,FR,46.6701,6.97377
1687,Vuisternens-devant-Romont,FR,46.635,6.93189
1688,Sommentier,FR,46.6363,6.90126
1689,Le Ch�telard,FR,46.6755,6.9891
1690,Lussy FR,FR,46.7199,6.95897
1691,Villarimboud,FR,46.7409,6.96335
1692,Massonnens,FR,46.6949,6.97164
1694,Villorsonnens,FR,46.7,7.01682
1695,Le Gl�be,FR,46.7169,7.01664
1696,Vuisternens-en-Ogoz,FR,46.7042,7.05586
1697,La Joux FR,FR,46.6207,6.91117
1699,Le Flon,FR,46.5984,6.86956
1700,Fribourg 1 Dist,FR,46.8042,7.15974
1701,Fribourg Swisscom,FR,46.8037,7.15368
1702,Fribourg,FR,46.8042,7.15974
1704,Fribourg,FR,46.8042,7.15974
1705,Fribourg,FR,46.8042,7.15974
1706,Fribourg,FR,46.8037,7.15368
1707,Fribourg,FR,46.8042,7.15974
1708,Fribourg,FR,46.8037,7.15368
1709,Fribourg,FR,46.8042,7.15974
1712,Tafers,FR,46.8163,7.22098
1713,St.Antoni,FR,46.8186,7.28247
1714,Heitenried,FR,46.8363,7.30239
1715,Alterswil,FR,46.7925,7.25804
1716,Plaffeien,FR,46.6633,7.28177
1717,St.Ursen,FR,46.7865,7.2215
1718,Rechthalten,FR,46.7649,7.24552
1719,Br�nisried,FR,46.7574,7.27516
1720,Ch�sopelloz,FR,46.8021,7.09625
1721,Misery-Courtion,FR,46.8547,7.08062
1722,Bourguillon,FR,46.8003,7.17596
1723,Marly,FR,46.776,7.1492
1724,Le Mouret,FR,46.7387,7.14101
1725,Hauterive FR,FR,46.7606,7.0953
1726,Farvagny,FR,46.7277,7.06627
1727,Corpataux-Magnedens,FR,46.7414,7.08987
1728,Rossens FR,FR,46.7222,7.08908
1730,Ecuvillens,FR,46.7498,7.08364
1731,Ependes FR,FR,46.0729,7.03187
1732,Arconciel,FR,46.75,7.12041
1733,Treyvaux,FR,46.7242,7.14383
1734,Tentlingen,FR,46.764,7.19893
1735,Giffers,FR,46.755,7.22414
1736,St.Silvester,FR,46.7364,7.22063
1737,Plasselb,FR,46.7112,7.24366
1738,Sangernboden,BE,46.7194,7.34833
1740,Neyruz FR,FR,46.7652,7.06456
1741,Cottens FR,FR,46.7509,7.03666
1742,Autigny,FR,46.7373,7.02656
1744,Ch�nens,FR,46.7423,6.99744
1745,La Brillaz,FR,46.7591,7.00445
1746,Prez-vers-Nor�az,FR,46.7859,7.01455
1747,Corserey,FR,46.771,6.98869
1748,Torny,FR,46.7706,6.96683
1749,Middes,FR,46.7677,6.94934
1752,Villars-Gl�ne 2,FR,46.7944,7.12514
1753,Matran,FR,46.7839,7.091
1754,Avry,FR,46.7812,7.0963
1756,Lovens,FR,46.7737,7.02244
1757,Nor�az,FR,46.8022,7.03655
1762,Givisiez Dist Ba,FR,46.8127,7.12558
1763,Granges-Paccot,FR,46.8237,7.14836
1772,Nierlet-les-Bois,FR,46.8347,7.06588
1773,Russy,FR,46.8331,7.02315
1774,Montagny-les-Monts,FR,46.8183,6.97728
1775,Grandsivaz,FR,46.7833,6.98439
1776,Montagny FR,FR,46.8162,6.97712
1782,La Sonnaz,FR,46.8287,7.09504
1783,Barber�che,FR,46.8598,7.15878
1784,Wallenried,FR,46.8643,7.12628
1785,Cressier FR,FR,46.8971,7.13546
1786,Sugiez,FR,46.971,7.1106
1787,Haut-Vully,FR,46.9416,7.0494
1788,Bas-Vully,FR,46.9539,7.09891
1789,Lugnorre,FR,46.95,7.06939
1791,Courtaman,FR,46.8719,7.13106
1792,Guschelmuth,FR,46.863,7.14983
1793,Jeuss,FR,46.9037,7.16765
1794,Salvenach,FR,46.9094,7.15178
1795,Courlevon,FR,46.8915,7.10892
1796,Courgevaux,FR,46.9051,7.10385
1797,M�nchenwiler,BE,46.9078,7.12392
1800,Vevey 1 Dist,VD,46.4642,6.84805
1801,Le Mont-P�lerin,VD,46.4821,6.83138
1802,Corseaux,VD,46.471,6.82827
1803,Chardonne,VD,46.4886,6.8216
1804,Corsier-sur-Vevey,VD,46.4944,6.871
1805,Jongny Dist,VD,46.4876,6.84654
1806,St-L�gier Dist,VD,46.464,6.88208
1807,Blonay,VD,46.4779,6.92197
1808,Monts-de-Corsier,VD,46.5035,6.88124
1809,Fenil-sur-Corsier,VD,46.4828,6.86499
1811,Vevey,VD,46.4589,6.84716
1814,Tour-de-Peilz Dist,VD,46.4549,6.86935
1815,Clarens,VD,46.4409,6.8908
1816,Chailly Dist,VD,46.4491,6.89164
1817,Brent,VD,46.4577,6.9011
1818,Montreux Redoute,VD,46.4317,6.91051
1820,Territet,VD,46.4518,6.94079
1822,Chernex,VD,46.4435,6.91138
1823,Glion,VD,46.414,6.92468
1824,Caux,VD,46.4335,6.9321
1832,Chamby,VD,46.4489,6.91388
1833,Les Avants,VD,46.4494,6.95158
1844,Villeneuve VD Dist,VD,46.4038,6.96895
1845,Noville,VD,46.383,6.89613
1846,Chessel,VD,46.349,6.89461
1847,Rennaz,VD,46.3754,6.91683
1852,Roche VD,VD,46.357,6.84387
1853,Yvorne,VD,46.3381,6.95034
1854,Leysin Dist,VD,46.3525,7.01108
1856,Corbeyrier,VD,46.3604,6.97355
1860,Aigle Distribution,VD,46.315,6.97239
1862,Les Mosses,VD,46.3837,7.05921
1863,Ormont-Dessous,VD,46.3671,7.04847
1864,Vers-l'Eglise,VD,46.3537,7.13103
1865,Ormont-Dessus,VD,46.2931,7.23107
1866,La Forclaz VD,VD,46.3519,7.0714
1867,Ollon,VD,46.296,7.02019
1868,Collombey,VS,46.2632,6.95207
1869,Massongex,VS,46.2345,6.98244
1870,Monthey Dist Fil,VS,46.2404,6.91518
1871,Les Giettes,VS,46.2385,6.95479
1872,Troistorrents,VS,46.2328,6.88523
1873,Les Crosets,VS,46.1917,6.88894
1874,Champ�ry,VS,46.1588,6.84583
1875,Morgins,VS,46.2329,6.84953
1880,Bex Distribution,VD,46.2556,7.08897
1882,Gryon,VD,46.2794,7.09473
1884,Arveyes,VD,46.281,7.00893
1885,Chesi�res,VD,46.2992,7.05585
1890,St-Maurice Caserne,VS,46.1981,7.00949
1891,V�rossaz,VS,46.2012,6.96658
1892,Morcles,VD,46.1999,7.04298
1893,Collombey-Muraz,VS,46.2791,6.92632
1895,Vionnaz,VS,46.3078,6.87128
1896,Miex,VS,46.336,6.84917
1897,Port-Valais,VS,46.3677,6.85951
1898,Saint-Gingolph,VS,46.3702,6.80445
1899,Torgon,VS,46.3203,6.87658
1902,Evionnaz,VS,46.1482,6.94813
1903,Collonges,VS,46.1734,7.05089
1904,Vernayaz,VS,46.138,7.03187
1905,Dor�naz,VS,46.1511,7.05749
1906,Charrat,VS,46.1213,7.13673
1907,Saxon,VS,46.1363,7.18429
1908,Riddes,VS,46.143,7.23799
1911,Mayens-de-Chamoson,VS,46.1985,7.16531
1912,Dugny (Leytron),VS,46.2002,7.15587
